Hospital ID,Hospital Name,Hospital Type,Street,City,State,Postal Code,Latitude,Longitude,Phone,Email,Website,Accepted Insurance,Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",CHEST X-RAY,71045,INPATIENT,497.9,Humana,Humana Commercial,307.34,Save $190.56 with Humana Humana Commercial plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",CHEST X-RAY,71045,OUTPATIENT,497.9,Humana,Humana Commercial,307.34,Save $190.56 with Humana Humana Commercial plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",CHEST X-RAY,71045,INPATIENT,497.9,Aetna,Aetna Commercial,432.07,Save $65.83 with Aetna Aetna Commercial plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",CHEST X-RAY,71045,OUTPATIENT,497.9,Aetna,Aetna Commercial,432.07,Save $65.83 with Aetna Aetna Commercial plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",CHEST X-RAY,71045,INPATIENT,497.9,Aetna,Aetna Medicare,297.68,Save $200.22 with Aetna Aetna Medicare plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",CHEST X-RAY,71045,OUTPATIENT,497.9,Aetna,Aetna Medicare,297.68,Save $200.22 with Aetna Aetna Medicare plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,1320.87,Aetna,Aetna Medicaid CHIP,987.51,Save $333.36 with Aetna Aetna Medicaid CHIP plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,1320.87,Aetna,Aetna Medicaid CHIP,987.51,Save $333.36 with Aetna Aetna Medicaid CHIP plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,1320.87,Aetna,Aetna Medicare,748.96,Save $571.91 with Aetna Aetna Medicare plan.
hospital1,General Hospital,Clinic,8216 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 238-9743,info@hospital1.example.com,https://www.hospital1.example.com,"Aetna, Highmark, Humana, Amerihealth",1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,1320.87,Aetna,Aetna Medicare,748.96,Save $571.91 with Aetna Aetna Medicare plan.
