Hospital ID,Hospital Name,Hospital Type,Street,City,State,Postal Code,Latitude,Longitude,Phone,Email,Website,Accepted Insurance,Hospital Rating,Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,1172.02,United Healthcare,United Healthcare Medicaid,1078.02,Save $94.0 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,1172.02,United Healthcare,United Healthcare Medicaid,1078.02,Save $94.0 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,1172.02,United Healthcare,United Healthcare CHIP,818.56,Save $353.46 with United Healthcare United Healthcare CHIP plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,1172.02,United Healthcare,United Healthcare CHIP,818.56,Save $353.46 with United Healthcare United Healthcare CHIP plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,TRILOCK SCAPHOID PLATE,C1713,INPATIENT,1233.47,Aetna,Aetna Medicaid CHIP,938.23,Save $295.24 with Aetna Aetna Medicaid CHIP plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,TRILOCK SCAPHOID PLATE,C1713,OUTPATIENT,1233.47,Aetna,Aetna Medicaid CHIP,938.23,Save $295.24 with Aetna Aetna Medicaid CHIP plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,TRILOCK SCAPHOID PLATE,C1713,INPATIENT,1233.47,Aetna,Aetna Commercial,779.77,Save $453.7 with Aetna Aetna Commercial plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,TRILOCK SCAPHOID PLATE,C1713,OUTPATIENT,1233.47,Aetna,Aetna Commercial,779.77,Save $453.7 with Aetna Aetna Commercial plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,TRILOCK SCAPHOID PLATE,C1713,INPATIENT,1233.47,Aetna,Aetna Medicare,1085.35,Save $148.12 with Aetna Aetna Medicare plan.
hospital1,General Hospital,Clinic,9959 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 777-6925,info@hospital1.example.com,https://www.hospital1.example.com,"Humana, Highmark, Amerihealth, Aetna, United Healthcare",4.5,TRILOCK SCAPHOID PLATE,C1713,OUTPATIENT,1233.47,Aetna,Aetna Medicare,1085.35,Save $148.12 with Aetna Aetna Medicare plan.
