Hospital ID,Hospital Name,Hospital Type,Street,City,State,Postal Code,Latitude,Longitude,Phone,Email,Website,Accepted Insurance,Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ABDOMINAL CT SCAN,74150,INPATIENT,404.32,Amerihealth,Amerihealth Medicaid HC,287.13,Save $117.19 with Amerihealth Amerihealth Medicaid HC plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ABDOMINAL CT SCAN,74150,OUTPATIENT,404.32,Amerihealth,Amerihealth Medicaid HC,287.13,Save $117.19 with Amerihealth Amerihealth Medicaid HC plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ABDOMINAL CT SCAN,74150,INPATIENT,404.32,United Healthcare,United Healthcare Medicaid,363.28,Save $41.04 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ABDOMINAL CT SCAN,74150,OUTPATIENT,404.32,United Healthcare,United Healthcare Medicaid,363.28,Save $41.04 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1128.88,United Healthcare,United Healthcare Commercial,760.39,Save $368.49 with United Healthcare United Healthcare Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1128.88,United Healthcare,United Healthcare Commercial,760.39,Save $368.49 with United Healthcare United Healthcare Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1128.88,United Healthcare,United Healthcare Medicaid,884.24,Save $244.64 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1128.88,United Healthcare,United Healthcare Medicaid,884.24,Save $244.64 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1128.88,United Healthcare,United Healthcare CHIP,855.7,Save $273.18 with United Healthcare United Healthcare CHIP plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1128.88,United Healthcare,United Healthcare CHIP,855.7,Save $273.18 with United Healthcare United Healthcare CHIP plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",COMPLETE BLOOD COUNT,85025,INPATIENT,819.52,Amerihealth,Amerihealth Medicaid HC,696.47,Save $123.05 with Amerihealth Amerihealth Medicaid HC plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",COMPLETE BLOOD COUNT,85025,OUTPATIENT,819.52,Amerihealth,Amerihealth Medicaid HC,696.47,Save $123.05 with Amerihealth Amerihealth Medicaid HC plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",COMPLETE BLOOD COUNT,85025,INPATIENT,819.52,Amerihealth,Amerihealth Commercial,510.3,Save $309.22 with Amerihealth Amerihealth Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",COMPLETE BLOOD COUNT,85025,OUTPATIENT,819.52,Amerihealth,Amerihealth Commercial,510.3,Save $309.22 with Amerihealth Amerihealth Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",2D ECHO,93306,OUTPATIENT,593.8,United Healthcare,United Healthcare Medicaid,529.79,Save $64.01 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",2D ECHO,93306,OUTPATIENT,593.8,United Healthcare,United Healthcare CHIP,493.07,Save $100.73 with United Healthcare United Healthcare CHIP plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",2D ECHO,93306,OUTPATIENT,593.8,Humana,Humana Medicare HMO,513.46,Save $80.34 with Humana Humana Medicare HMO plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",2D ECHO,93306,OUTPATIENT,593.8,Humana,Humana Medicare PPO,418.87,Save $174.93 with Humana Humana Medicare PPO plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",2D ECHO,93306,OUTPATIENT,593.8,Humana,Humana Commercial,424.41,Save $169.39 with Humana Humana Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",BASIC METABOLIC PANEL,80048,INPATIENT,1590.06,,,,"Only standard charge, no insurance pricing available."
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",BASIC METABOLIC PANEL,80048,OUTPATIENT,1590.06,,,,"Only standard charge, no insurance pricing available."
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",CHEST X-RAY,71045,INPATIENT,1976.11,Amerihealth,Amerihealth Medicaid HC,1752.32,Save $223.79 with Amerihealth Amerihealth Medicaid HC plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",CHEST X-RAY,71045,OUTPATIENT,1976.11,Amerihealth,Amerihealth Medicaid HC,1752.32,Save $223.79 with Amerihealth Amerihealth Medicaid HC plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",CHEST X-RAY,71045,INPATIENT,1976.11,Highmark,Highmark ACA Products PROF,1472.8,Save $503.31 with Highmark Highmark ACA Products PROF plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",CHEST X-RAY,71045,OUTPATIENT,1976.11,Highmark,Highmark ACA Products PROF,1472.8,Save $503.31 with Highmark Highmark ACA Products PROF plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,INPATIENT,1728.01,United Healthcare,United Healthcare Commercial,1630.79,Save $97.22 with United Healthcare United Healthcare Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,OUTPATIENT,1728.01,United Healthcare,United Healthcare Commercial,1630.79,Save $97.22 with United Healthcare United Healthcare Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,INPATIENT,1728.01,United Healthcare,United Healthcare Medicaid,1542.53,Save $185.48 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,OUTPATIENT,1728.01,United Healthcare,United Healthcare Medicaid,1542.53,Save $185.48 with United Healthcare United Healthcare Medicaid plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,INPATIENT,1728.01,Humana,Humana Commercial,1082.95,Save $645.06 with Humana Humana Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,OUTPATIENT,1728.01,Humana,Humana Commercial,1082.95,Save $645.06 with Humana Humana Commercial plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,INPATIENT,1728.01,Humana,Humana Medicare HMO,1306.94,Save $421.07 with Humana Humana Medicare HMO plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK GRIDPL,C1713,OUTPATIENT,1728.01,Humana,Humana Medicare HMO,1306.94,Save $421.07 with Humana Humana Medicare HMO plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK SCAPHOID PLATE,C1713,INPATIENT,1616.43,Humana,Humana Medicare PPO,1481.02,Save $135.41 with Humana Humana Medicare PPO plan.
hospital1,General Hospital,Medical Center,5539 Main St,Philadelphia,PA,19103,39.9526,-75.1652,(555) 291-7155,info@hospital1.example.com,https://www.hospital1.example.com,"Highmark, Amerihealth, Aetna, Humana, United Healthcare",TRILOCK SCAPHOID PLATE,C1713,OUTPATIENT,1616.43,Humana,Humana Medicare PPO,1481.02,Save $135.41 with Humana Humana Medicare PPO plan.
