Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
BASIC METABOLIC PANEL,80048,BOTH,184.3,Highmark,Highmark Medicare,152.54,"This service costs $184.3 as standard price when patient does not have any insurance.
Same service costs $152.54 if patient has 'Highmark Medicare' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
BASIC METABOLIC PANEL,80048,BOTH,184.3,Highmark,Highmark ACA Products PROF,163.15,"This service costs $184.3 as standard price when patient does not have any insurance.
Same service costs $163.15 if patient has 'Highmark ACA Products PROF' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
BASIC METABOLIC PANEL,80048,BOTH,184.3,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,585.01,Aetna,Aetna Medicare,397.91,"This service costs $585.01 as standard price when patient does not have any insurance.
Same service costs $397.91 if patient has 'Aetna Medicare' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,585.01,Aetna,Aetna Medicare,397.91,"This service costs $585.01 as standard price when patient does not have any insurance.
Same service costs $397.91 if patient has 'Aetna Medicare' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,585.01,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,585.01,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
COMPLETE BLOOD COUNT,85025,BOTH,440.35,Aetna,Aetna Medicare,328.44,"This service costs $440.35 as standard price when patient does not have any insurance.
Same service costs $328.44 if patient has 'Aetna Medicare' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
COMPLETE BLOOD COUNT,85025,BOTH,440.35,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
COMPLETE BLOOD COUNT,85025,BOTH,440.35,Humana,Humana Medicare HMO,272.69,"This service costs $440.35 as standard price when patient does not have any insurance.
Same service costs $272.69 if patient has 'Humana Medicare HMO' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
COMPLETE BLOOD COUNT,85025,BOTH,440.35,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1422.67,United Healthcare,United Healthcare Medicaid,781.93,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $781.93 if patient has 'United Healthcare Medicaid' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1422.67,United Healthcare,United Healthcare Medicaid,781.93,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $781.93 if patient has 'United Healthcare Medicaid' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1422.67,United Healthcare,United Healthcare CHIP,1275.21,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1275.21 if patient has 'United Healthcare CHIP' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1422.67,United Healthcare,United Healthcare CHIP,1275.21,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1275.21 if patient has 'United Healthcare CHIP' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1422.67,United Healthcare,United Healthcare Commercial,1136.15,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1136.15 if patient has 'United Healthcare Commercial' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1422.67,United Healthcare,United Healthcare Commercial,1136.15,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1136.15 if patient has 'United Healthcare Commercial' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1422.67,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1422.67,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1422.67,Amerihealth,Amerihealth Medicare,1063.99,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1063.99 if patient has 'Amerihealth Medicare' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1422.67,Amerihealth,Amerihealth Medicare,1063.99,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1063.99 if patient has 'Amerihealth Medicare' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1422.67,Amerihealth,Amerihealth Commercial,1263.93,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1263.93 if patient has 'Amerihealth Commercial' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1422.67,Amerihealth,Amerihealth Commercial,1263.93,"This service costs $1422.67 as standard price when patient does not have any insurance.
Same service costs $1263.93 if patient has 'Amerihealth Commercial' insurance plan.",General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1422.67,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1422.67,,,,Standard charge with no insurance.,General Hospital,hospital1,19103,Philadelphia,PA,39.9526,-75.1652
