Service Description,Service Code,Setting,Standard Charge,Insurance,Plan Name,Negotiated Amount,Comments,Hospital Name,Hospital ID,Postal Code,City,State,Latitude,Longitude
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,Aetna,Aetna Medicaid CHIP,654.78,"This service costs $1060.13 as standard price when patient does not have any insurance.
Same service costs $654.78 if patient has 'Aetna Medicaid CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,Aetna,Aetna Medicare,836.39,"This service costs $1060.13 as standard price when patient does not have any insurance.
Same service costs $836.39 if patient has 'Aetna Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,United Healthcare,United Healthcare Commercial,567.6,"This service costs $1060.13 as standard price when patient does not have any insurance.
Same service costs $567.6 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,Amerihealth,Amerihealth Medicaid HC,761.32,"This service costs $1060.13 as standard price when patient does not have any insurance.
Same service costs $761.32 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,Amerihealth,Amerihealth Commercial,652.81,"This service costs $1060.13 as standard price when patient does not have any insurance.
Same service costs $652.81 if patient has 'Amerihealth Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHG MRI BRAIN,70551,OUTPATIENT,1060.13,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
2D ECHO,93306,OUTPATIENT,1666.51,Aetna,Aetna Commercial,1036.35,"This service costs $1666.51 as standard price when patient does not have any insurance.
Same service costs $1036.35 if patient has 'Aetna Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
2D ECHO,93306,OUTPATIENT,1666.51,Aetna,Aetna Medicaid CHIP,1380.39,"This service costs $1666.51 as standard price when patient does not have any insurance.
Same service costs $1380.39 if patient has 'Aetna Medicaid CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
2D ECHO,93306,OUTPATIENT,1666.51,Aetna,Aetna Medicare,882.83,"This service costs $1666.51 as standard price when patient does not have any insurance.
Same service costs $882.83 if patient has 'Aetna Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
2D ECHO,93306,OUTPATIENT,1666.51,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
2D ECHO,93306,OUTPATIENT,1666.51,Humana,Humana Medicare PPO,975.9,"This service costs $1666.51 as standard price when patient does not have any insurance.
Same service costs $975.9 if patient has 'Humana Medicare PPO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
2D ECHO,93306,OUTPATIENT,1666.51,Humana,Humana Commercial,1393.13,"This service costs $1666.51 as standard price when patient does not have any insurance.
Same service costs $1393.13 if patient has 'Humana Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
2D ECHO,93306,OUTPATIENT,1666.51,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
COMPLETE BLOOD COUNT,85025,BOTH,1419.78,Humana,Humana Commercial,801.94,"This service costs $1419.78 as standard price when patient does not have any insurance.
Same service costs $801.94 if patient has 'Humana Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
COMPLETE BLOOD COUNT,85025,BOTH,1419.78,Humana,Humana Medicare HMO,998.75,"This service costs $1419.78 as standard price when patient does not have any insurance.
Same service costs $998.75 if patient has 'Humana Medicare HMO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
COMPLETE BLOOD COUNT,85025,BOTH,1419.78,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
COMPLETE BLOOD COUNT,85025,BOTH,1419.78,Amerihealth,Amerihealth Medicaid HC,1182.91,"This service costs $1419.78 as standard price when patient does not have any insurance.
Same service costs $1182.91 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
COMPLETE BLOOD COUNT,85025,BOTH,1419.78,Amerihealth,Amerihealth Medicare,901.12,"This service costs $1419.78 as standard price when patient does not have any insurance.
Same service costs $901.12 if patient has 'Amerihealth Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
COMPLETE BLOOD COUNT,85025,BOTH,1419.78,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ABDOMINAL CT SCAN,74150,BOTH,1346.52,Amerihealth,Amerihealth Medicare,762.79,"This service costs $1346.52 as standard price when patient does not have any insurance.
Same service costs $762.79 if patient has 'Amerihealth Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ABDOMINAL CT SCAN,74150,BOTH,1346.52,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHEST X-RAY,71045,BOTH,937.23,Aetna,Aetna Commercial,794.01,"This service costs $937.23 as standard price when patient does not have any insurance.
Same service costs $794.01 if patient has 'Aetna Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
CHEST X-RAY,71045,BOTH,937.23,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK GRIDPL,C1713,BOTH,1456.63,Highmark,Highmark Medicare,1079.24,"This service costs $1456.63 as standard price when patient does not have any insurance.
Same service costs $1079.24 if patient has 'Highmark Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK GRIDPL,C1713,BOTH,1456.63,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK GRIDPL,C1713,BOTH,1456.63,Amerihealth,Amerihealth Medicaid HC,888.37,"This service costs $1456.63 as standard price when patient does not have any insurance.
Same service costs $888.37 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK GRIDPL,C1713,BOTH,1456.63,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK GRIDPL,C1713,BOTH,1456.63,Humana,Humana Medicare PPO,1240.78,"This service costs $1456.63 as standard price when patient does not have any insurance.
Same service costs $1240.78 if patient has 'Humana Medicare PPO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK GRIDPL,C1713,BOTH,1456.63,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
BASIC METABOLIC PANEL,80048,BOTH,1075.55,Aetna,Aetna Commercial,937.51,"This service costs $1075.55 as standard price when patient does not have any insurance.
Same service costs $937.51 if patient has 'Aetna Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
BASIC METABOLIC PANEL,80048,BOTH,1075.55,Aetna,Aetna Medicare,844.01,"This service costs $1075.55 as standard price when patient does not have any insurance.
Same service costs $844.01 if patient has 'Aetna Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
BASIC METABOLIC PANEL,80048,BOTH,1075.55,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
BASIC METABOLIC PANEL,80048,BOTH,1075.55,Humana,Humana Medicare PPO,978.11,"This service costs $1075.55 as standard price when patient does not have any insurance.
Same service costs $978.11 if patient has 'Humana Medicare PPO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
BASIC METABOLIC PANEL,80048,BOTH,1075.55,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
BASIC METABOLIC PANEL,80048,BOTH,1075.55,Highmark,Highmark ACA Products PROF,620.69,"This service costs $1075.55 as standard price when patient does not have any insurance.
Same service costs $620.69 if patient has 'Highmark ACA Products PROF' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
BASIC METABOLIC PANEL,80048,BOTH,1075.55,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,Humana,Humana Medicare PPO,50.27,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $50.27 if patient has 'Humana Medicare PPO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,Humana,Humana Medicare PPO,50.27,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $50.27 if patient has 'Humana Medicare PPO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,Humana,Humana Commercial,34.12,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $34.12 if patient has 'Humana Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,Humana,Humana Commercial,34.12,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $34.12 if patient has 'Humana Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,Humana,Humana Medicare HMO,31.19,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $31.19 if patient has 'Humana Medicare HMO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,Humana,Humana Medicare HMO,31.19,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $31.19 if patient has 'Humana Medicare HMO' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,United Healthcare,United Healthcare CHIP,49.27,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $49.27 if patient has 'United Healthcare CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,United Healthcare,United Healthcare CHIP,49.27,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $49.27 if patient has 'United Healthcare CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,United Healthcare,United Healthcare Medicaid,38.45,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $38.45 if patient has 'United Healthcare Medicaid' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,United Healthcare,United Healthcare Medicaid,38.45,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $38.45 if patient has 'United Healthcare Medicaid' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,United Healthcare,United Healthcare Commercial,56.05,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $56.05 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,United Healthcare,United Healthcare Commercial,56.05,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $56.05 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,Amerihealth,Amerihealth Medicaid HC,35.45,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $35.45 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,Amerihealth,Amerihealth Medicaid HC,35.45,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $35.45 if patient has 'Amerihealth Medicaid HC' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,Amerihealth,Amerihealth Commercial,30.11,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $30.11 if patient has 'Amerihealth Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,Amerihealth,Amerihealth Commercial,30.11,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $30.11 if patient has 'Amerihealth Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,Amerihealth,Amerihealth Medicare,48.9,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $48.9 if patient has 'Amerihealth Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,Amerihealth,Amerihealth Medicare,48.9,"This service costs $59.54 as standard price when patient does not have any insurance.
Same service costs $48.9 if patient has 'Amerihealth Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,INPATIENT,59.54,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
1 CC STERILE SYRINGE&NEEDLE,A4206,OUTPATIENT,59.54,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,United Healthcare,United Healthcare Commercial,334.18,"This service costs $421.79 as standard price when patient does not have any insurance.
Same service costs $334.18 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,United Healthcare,United Healthcare CHIP,242.07,"This service costs $421.79 as standard price when patient does not have any insurance.
Same service costs $242.07 if patient has 'United Healthcare CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,Highmark,Highmark Commercial PROF,279.45,"This service costs $421.79 as standard price when patient does not have any insurance.
Same service costs $279.45 if patient has 'Highmark Commercial PROF' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,Highmark,Highmark Medicare,283.04,"This service costs $421.79 as standard price when patient does not have any insurance.
Same service costs $283.04 if patient has 'Highmark Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,Aetna,Aetna Commercial,256.8,"This service costs $421.79 as standard price when patient does not have any insurance.
Same service costs $256.8 if patient has 'Aetna Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
TRILOCK SCAPHOID PLATE,C1713,BOTH,421.79,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1966.24,Aetna,Aetna Medicare,1003.33,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1003.33 if patient has 'Aetna Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1966.24,Aetna,Aetna Medicare,1003.33,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1003.33 if patient has 'Aetna Medicare' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1966.24,Aetna,Aetna Medicaid CHIP,1002.88,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1002.88 if patient has 'Aetna Medicaid CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1966.24,Aetna,Aetna Medicaid CHIP,1002.88,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1002.88 if patient has 'Aetna Medicaid CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1966.24,Aetna,Aetna Commercial,1673.88,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1673.88 if patient has 'Aetna Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1966.24,Aetna,Aetna Commercial,1673.88,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1673.88 if patient has 'Aetna Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1966.24,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1966.24,,,,Standard charge with no insurance.,Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1966.24,United Healthcare,United Healthcare Medicaid,1730.4,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1730.4 if patient has 'United Healthcare Medicaid' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1966.24,United Healthcare,United Healthcare Medicaid,1730.4,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1730.4 if patient has 'United Healthcare Medicaid' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1966.24,United Healthcare,United Healthcare Commercial,1487.42,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1487.42 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,INPATIENT,1966.24,United Healthcare,United Healthcare Commercial,1487.42,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1487.42 if patient has 'United Healthcare Commercial' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
ACETYLCYSTEINE NON-COMP UNIT,J7608,OUTPATIENT,1966.24,United Healthcare,United Healthcare CHIP,1191.23,"This service costs $1966.24 as standard price when patient does not have any insurance.
Same service costs $1191.23 if patient has 'United Healthcare CHIP' insurance plan.",Community Hospital,hospital3,19107,Philadelphia,PA,39.9483,-75.1594
